"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Gross value added at current prices, Total","Tonga","Tongan Pa'anga","294187650.1","310234691.6","342641520.8","378112184.1","408057912.7","435100338.3","496908426.3","502182081.9","543826772.1","566473892.9","623200163","667742708","696721607.5","681024530.9","689430676.4","728079205.9","789217835.1","853188008.6","889435562.2","976771081.3","935061137.7","875460587.4","885224289","...","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Ending 30 June","","Tonga Department of Statistics (formerly Tonga Statistics Department)",""
"Gross value added at current prices, Total","Turkmenistan","Turkmenistan Manat","5129600000","6772600000","8604000000","11194400000","13939800000","17599600000","21937400000","26690800000","48719357900","56704295100","63470742000","83315000000","100218000000","111713000000","123934000000","125491000000","...","...","...","...","...","...","...","...","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Ending 31 December","","2000–2010: United Nations Statistics Division. 2011–2015: State Statistics Committee of Turkmenistan (formerly NISSI).",""
"Gross value added at current prices, Total","Tuvalu","Australian Dollar","21932184.79","23150937.5","26460844.72","26676995.73","28060149.73","26698530.49","28734823.6","30350380.92","33983679.7","33286736.84","33488111.51","36329160.95","35334835.07","36774068.81","39367811.45","44787290.9","53039395.588","55998440.45335","61186614.62292","73071260.23062","72309005.16024","78688254.85345","85411838.40561","...","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Calendar Year","","Central Statistics Division",""
"Gross value added at current prices, Total","Uzbekistan","Uzbekistani Sum","2847924900000","4341199900000","6512218000000","8498899000000","10536100000000","14233300000000","18986300000000","25330900000000","35115200000000","44611400000000","69472985700000","91605077100000","1.132734142E+14","1.373829336E+14","1.68449091E+14","2.012040389E+14","2.32990401E+14","2.826843743E+14","3.81065158E+14","4.874498399E+14","5.611533828E+14","6.864324405E+14","8.368397316E+14","1.008423126E+15","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Ending 31 December","","Statistics Agency under the President of the Republic of Uzbekistan","For 2010–2023: Data may not be comparable with data prior to 2010 due to improvements in methodology in accordance with international standards."
"Gross value added at current prices, Total","Vanuatu","Vanuatu Vatu","34315137560","34818086790","33688000000","35611000000","37684000000","39869000000","44984000000","48100000000","54119000000","57962000000","61190000000","64939000000","64723000000","66840000000","70112000000","74386000000","79583000000","87672200000","91810200000","99742500000","98224000000","101249000000","...","...","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Calendar Year","","Vanuatu Bureau of Statistics",""
"Gross value added at current prices, Total","Viet Nam","Vietnamese Dong","...","...","...","...","...","...","...","...","...","...","2.4391547E+15","3.17692214E+15","3.71439861E+15","4.0859137E+15","4.49776059E+15","4.72069294E+15","5.11989792E+15","5.72122014E+15","6.37963153E+15","7.0178982E+15","7.33891543E+15","7.74499622E+15","8.73263185E+15","9.364979856E+15","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Calendar Year","","General Statistics Office","For 2010–2023: GDP data are based on the reevaluated scale."
"Agriculture, forestry, and fishing at current prices","Afghanistan","Afghan Afghani","...","...","87425458950","98804624670","88954942380","112194275600","122511287800","174343462000","150133374700","196844193500","207300375000","241742639800","275818216500","295269524700","294037994400","274103361300","314782645600","339621177400","292661422900","378773321200","414992202630.87","460115187500","420363939900","432537775300","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Beginning 21 March","","2002–2015: National Statistics and Information Authority. 2016–2023: Asian Development Bank.","For 2016–2023: There are changes in basic concepts in line with the changing of the base year to 2016 producer's prices and the adoption of the System of National Accounts 2008."
"Agriculture, forestry, and fishing at current prices","Armenia","Armenian Dram","239591100000","301345300000","319962100000","350032500000","431932900000","428298800000","497121300000","574739900000","581260600000","530525000000","588205000000","767880600000","764237500000","839821100000","872631100000","868671000000","830553400000","834354600000","838913800000","754157800000","701633900000","793115700000","862616900000","801776700000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 31 December","","Statistical Committee of the Republic of Armenia","For 2000–2011: Estimates are based on the 1993 System of National Accounts. For 2012–2023: Estimates are based on the 2008 System of National Accounts."
"Agriculture, forestry, and fishing at current prices","Australia","Australian Dollar","20612000000","24737000000","29842000000","23189000000","26455000000","26707000000","27299000000","24024000000","27628000000","29027000000","28753000000","32520000000","34035000000","35135000000","35519000000","38592000000","39885000000","47573000000","45322000000","41206000000","39876000000","48050000000","62426000000","61044000000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 30 June","","Australian Bureau of Statistics",""
"Agriculture, forestry, and fishing at current prices","Azerbaijan","Azerbaijan Manat","758900000","788700000","846000000","888000000","937300000","1137900000","1329400000","1901000000","2246000000","2179500000","2344600000","2643500000","2813700000","3122200000","3139200000","3359400000","3386800000","3944100000","4174800000","4664200000","4891000000","5337000000","6179100000","6815600000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 31 December","","State Statistical Committee of the Republic of Azerbaijan","For 2000–2009: Estimates are based on the 1993 System of National Accounts (SNA). For 2010–2023: Transition to the 2008 SNA began, although a global revision of the GDP and sectoral accounts series according to the 2008 SNA has yet to be fully implemented."
"Agriculture, forestry, and fishing at current prices","Bangladesh","Bangladeshi Taka","583700000000","590400000000","599000000000","630600000000","672000000000","716200000000","869847280000","979002860000","1106210060000","1205999160000","1355909940000","1539506090000","1707063710000","1857524080000","2062758000000","2240810000000","2795050000000","3011670000000","3293802000000","3534431000000","3804464000000","4106614077000","4455312973000","4941582675000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 30 June","","Bangladesh Bureau of Statistics","For 2000–2015: Estimates of GDP at current prices used the 2005/2006 base year. For 2016–2023: Estimates of GDP at current prices were rebased using the 2015/2016 base year, reflecting more comprehensive coverage of economic activities and methodological changes."
"Agriculture, forestry, and fishing at current prices","Bhutan","Bhutanese Ngultrum","4476783531","4888777574","5660942872","6009124173","6457579210","6842655761","7408041061","7739940946","8304179612","9025682653","9699402866","10891241610","12203989790","13499725350","15380780820","16835397780","19013349620","21819451340","23940810580","24916971650","28596465330","32326302030","33422577560","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","National Statistics Bureau",""
"Agriculture, forestry, and fishing at current prices","Brunei Darussalam","Brunei Dollar","105985660","113859160","114420850","139626000","150016900","150168190","128700000","127300000","129700000","141900000","137061530","133471400","155942360","155061510","186919440","196129190","189548240","181955310","186235160","181187500","201672520","236459250","252150900","242795090","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Department of Economic Planning and Statistics",""
"Agriculture, forestry, and fishing at current prices","Cambodia","Kampuchean Riel","5058301030000","5365367370000","5223621460000","5925844450000","6300676070000","7909157730000","8972385580000","10406315900000","13745090150000","14420008400000","15938294820000","17993541660000","18999437410000","19376281300000","19469880700000","19516018410000","20101402280000","20985704590000","21912637310000","22785967410000","24033610760000","25247839200000","26905198720000","28206617330000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","National Institute of Statistics",""
"Agriculture, forestry, and fishing at current prices","China, People's Republic of","Chinese Yuan","1494360000000","1578000000000","1653570000000","1738060000000","2141070000000","2241620000000","2403640000000","2848370000000","3342810000000","3465970000000","3961900000000","4612260000000","5058120000000","5469240000000","5747220000000","5985260000000","6245100000000","6466000000000","6755870000000","7357690000000","8139650000000","8699480000000","9257680000000","9446260000000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","National Bureau of Statistics",""
"Agriculture, forestry, and fishing at current prices","Cook Islands","New Zealand Dollar","21422354.11","18750653.2","18389455.5","24075363.73","18882883.85","18647936.86","10710221.04","9026256.952","10359498.62","9639439.261","10434099.62","10224994.53","11882636.08","11610292.54","12543709.72","12387351.680026","11800222.152265","14209438.917272","14017613.814612","13324724.081829","11952827.86","12647207.76","13702663.829753","14622939.057406","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Cook Islands Statistics Office","For 2000–2005: Taxes on products are distributed among the GDP components. For 2006–2023: Taxes on products are measured separately from GDP components."
"Agriculture, forestry, and fishing at current prices","Fiji","Fijian Dollar","535400000","489500000","533700000","545800000","579500000","608501000","653682000","679106000","600653770.5","565417039.2","557183929.7","623862915.2","687908563.9","780332025.8","742394212.7","773159596","1101337558","1165341637","1270675344","1328100000","1377000000","1361800000","1386100000","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Bureau of Statistics","For 2005, 2008, 2011, and 2014: Figures are current basic prices."
"Agriculture, forestry, and fishing at current prices","Georgia","Georgian Lari","1244995710","1398971610","1434615690","1652974790","1610685480","1716375510","1544347510","1562728090","1551058400","1457130010","1964000000","2542000000","2390000000","2685000000","2920000000","2951000000","2925000000","2860000000","3431000000","3648000000","4141000000","4389000000","4832000000","4820000000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 31 December","","National Statistics Office (formerly Department of Statistics)","For 2010–2023: GeoStat revised the data of Gross Domestic Product (GDP) and National Accounts on February 2024. Data revision includes the historical series since 2010.  The base year  was changed from 2015 to 2019."
"Agriculture, forestry, and fishing at current prices","Hong Kong, China","Hong Kong Dollar","1168000000","1182000000","1143000000","945000000","963000000","953000000","947000000","1015000000","925000000","1090000000","948000000","944000000","1114000000","1225000000","1496000000","1630000000","1898000000","1736000000","1762000000","2057000000","2648000000","2168000000","1486000000","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Census and Statistics Department Hong Kong Special Administrative Region of PRC","For 2000–2022: Refers to agriculture, fishing, mining, and quarrying."
